Name,Brand,Category,Image URL,Price,MSRP,Units Available,,455
9X12 NAHID CAMEL RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 204 each,$339,9,,
9X12 MYRIAD MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 551 each,$916,4,,
9X12 MARRAKECH MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,"$ 1,224 each","$2,037",4,,
9X12 LARK OYSTER RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 584 each,$972,1,,
9X12 LAINA GREY RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Laina_Wool_6003804_Truffle_O-2-3mobile.jpg?v=1719419492,$ 278 each,$463,1,,
9X12 KILM CHARCOAL RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 226 each,$376,3,,
9X12 KARAM NATURAL RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Karam_Wool_6002655_Natural_O-2-3mobile.jpg?v=1719422124,$ 250 each,$416,5,,
9X12 JAYA NATURAL RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/Jaya_Swatch_6003031_Natural_SWATCH-4-3mobile.jpg?v=1718051225,$ 285 each,$475,9,,
9X12 HALCYON MULTI RUG,Arhaus,Pillows & Rugs,https://upload.wikimedia.org/wikipedia/commons/3/3d/Arhaus_logo.jpg,$ 793 each,"$1,320",1,,
9X12 FLOE MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/FloeRug-6001784-Multi-AV1-tablet-1.jpg?v=1697982038,$ 491 each,$817,4,,
9X12 FAUNA MULTI RUG,Arhaus,Pillows & Rugs,https://cdn.shopify.com/s/files/1/0711/6419/9198/files/FaunaRug-6001810-Multi-AV1-tablet-1.jpg?v=1697981929,$ 793 each,"$1,320",7,,
