Name,Brand,Image URL,Price,MSRP,Units Available,Category
Verona Full-size Upholstered Platform Bed in Speckled Grey,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/vvdc1mxa0qkly0p22onq/Modus_Furniture_Verona_Upholstered_Platform_Bed_in_Speckled_Grey_655450344879_3ZFBL_64_Image01.jpg",$ 199 each,"$1,539",4,Furniture
Verona Full-size Upholstered Footboard Storage Bed in Speckled Grey,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/rbyome51mustjcodozdf/Modus_Furniture_Verona_Upholstered_Footboard_Storage_Bed_in_Speckled_Grey_655450344992_3ZFBD_64_Image_1.jpg",$ 299 each,"$2,479",4,Furniture
Tavel King-size Nailhead Platform Bed in Tumbleweed,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/2b13dfc7610a6e89cb4470ca69a4710133b7f9cc/Modus_Furniture_Tavel_Nailhead_Upholstered_Platform_Bed_in_Tumbleweed_655450161858_3ZS1L_12_Image_1.jpg",$ 99 each,"$1,639",4,Furniture
Tavel Full-size Nailhead Platform Bed in Tumbleweed,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/2b13dfc7610a6e89cb4470ca69a4710133b7f9cc/Modus_Furniture_Tavel_Nailhead_Upholstered_Platform_Bed_in_Tumbleweed_655450161858_3ZS1L_12_Image_1.jpg",$ 99 each,"$1,159",1,Furniture
Ennis End Table,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/992dded2a49b65f73faf1548513310e547afa07c/Modus_Furniture_Ennis_End_Table_655450279508_8V4022_Image01.jpg",$ 149 each,"$1,159",19,Furniture
Elora Twin-size Upholstered Daybed with Trundle in Charcoal Velvet,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/xavpdtn4ccxksvyq74e1/Modus_Furniture_Elora_Upholstered_Daybed_with_Trundle_in_Charcoal_Velvet_655450416040_PRRZJ3_Image01.jpg",$ 199 each,"$1,989",1,Furniture
Elora Queen-size Fully Upholstered Platform Bed in Charcoal Velvet,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/pdolzjrkls7werntmi7a/Modus_Furniture_Elora_Fully_Upholstered_Platform_Bed_in_Charcoal_Velvet_655450415883_PRRZH_Image01.jpg",$ 299 each,"$1,719",44,Furniture
Ella Solid Wood California-King Crown Bed in White Wash,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/627e30bbb177829f3bcf1f8d9791e1135119f962/Modus_Furniture_Ella_Solid_Wood_Crown_Bed_in_White_Wash_655450291197_2G43B_Image01.jpg",$ 99 each,"$3,049",17,Furniture
Ella Solid Wood Two Drawer Nightstand in White Wash,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/6945e1a764c0ee02096cab2d1e4ee169f528f97f/Modus_Furniture_Ella_Solid_Wood_Two_Drawer_Nightstand_in_White_Wash_655450274404_2G43812_Image01.jpg",$ 149 each,$949,5,Furniture
Ella California King-Size Crown Bed in Camel,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/5cf8a594a8983016c262434e22a21d927b941018/Modus_Furniture_Ella_Solid_Wood_Crown_Bed_in_Camel_655450349270_2G38B__Image_1.jpg",$ 99 each,"$3,049",3,Furniture
Ella Queen-Size Crown Bed in Camel,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/5cf8a594a8983016c262434e22a21d927b941018/Modus_Furniture_Ella_Solid_Wood_Crown_Bed_in_Camel_655450349270_2G38B_Image01.jpg",$ 199 each,"$2,109",8,Furniture
Ella Five-Drawer Chest in Camel,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/6a69bccc5b7a982e078ba68d20bfb64713bb5553/Modus_Furniture_Ella_Five_Drawer_Chest_in_Camel_655450309717_2G3884_Image_1.jpg",$ 449 each,"$2,579",1,Furniture
Destination Queen-Size Poster Bed in Cotton Grey,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/4485ba521053673cd9e3396e32a55403fcb5cfb3/Modus_Furniture_Destination_Wood_Poster_Bed_in_Cotton_Grey_655450270314_DEZ7J_Image01.jpg",$ 149 each,"$3,959",8,Furniture
City II California King-size Upholstered Sleigh Bed in Basalt Gray,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/67988aaa7700c39bd112727a76ec8185fcb1af1a/Modus_Furniture_City_II_Upholstered_Sleigh_Bed_in_Basalt_Gray_655450188725_1X57L_D_Image01.jpg",$ 99 each,"$3,519",2,Furniture
City II Beveled Glass Mirror in Basalt Gray,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/228d90b333657af9eff218e2a497e6554c336733/Modus_Furniture_City_II_Beveled_Glass_Mirror_in_Basalt_Gray_655450180705_1X5783_Image_1.jpg",$ 10 each,$459,2,Mirrors
Herringbone Solid Wood Dining Bench in Rustic Latte,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/0cbc3e2657b304d103763123db5ff88f90687e0a/Modus_Furniture_Herringbone_Solid_Wood_Dining_Bench_in_Rustic_Latte_655450244339_5QS371_Image_1.jpg",$ 79 each,$609,6,Furniture
Herringbone Solid Wood Rectangular Dining Table in Rustic Latte,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7ff7b3c6cd41a9c7c4652639c706023a36ebb014/Modus_Furniture_Herringbone_Solid_Wood_Rectangular_Dining_Table_in_Rustic_Latte_655450244322_5QS361_Image_1.jpg",$ 179 each,"$1,399",3,Furniture
Herringbone Extension Table in Rustic Latte,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/14547cfbce007e8ea0bd6594f370a4d59d2a60fd/Modus_Furniture_Herringbone_Extension_Table_in_Rustic_Latte_655450287305_5QS360_Image01.jpg",$ 229 each,"$1,639",5,Furniture
Alexandra California King-Size Solid Wood Storage Bed in Rustic Latte,Modus Furniture,"https://images.salsify.com/images/h_9999,w_9999,c_limit/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/7cc0eea16860fd50553b0811f41de1c8340edb95/Modus_Furniture_Alexandra_Solid_Wood_Storage_Bed_in_Rustic_Latte_655450265006_5RS3P__Image_1.jpg",$ 169 each,"$4,179",15,Furniture
Alexandra California King-Size Solid Wood Platform Bed in Rustic Latte,Modus Furniture,"https://images.salsify.com/images/e_trim/cs_srgb,h_2048,w_2048,c_limit/dn_72/q_auto/337b32174c1305d5bfc6b8c7fda481a09c0144a3/Modus_Furniture_Alexandra_Solid_Wood_Platform_Bed_in_Rustic_Latte_655450264863_5RS3H_Image01.jpg",$ 99 each,"$3,289",15,Furniture
